Unnamed: 0,text_data,sentiment
5738,108 Mahasiswa Magang Kampus Merdeka di BPJPH ,Negative
29,Unearned Revenue Definisi Contoh dan Metode Pencatatannya ,Negative
7566,Apple Tunda Peluncuran MacBook Air hingga November 2022 ,Negative
731,Saham Bukalapak BUKA Melejit 6 IHSG Berbalik Menguat ke 70193 ,Negative
5473,10 Wisata Kota Tua Jakarta yang Instagramable Penuh Spot Menarik ,Negative
3064,Awas Perang China Bawa 30 Pesawat Tempur Masuk Taiwan ,Negative
1414,Rupiah Melemah Kadin Ingatkan Pelaku Usaha Perlu Hati,Negative
2296,Potret 3 Trainee Baru SM Entertainment Visualnya Bukan Kaleng,Negative
2603,Kemenkumham Kalsel perluas publikasi G20 ,Negative
2394,11 Artis YG Entertainment yang Bintangi Proyek Akting Baru ,Negative
5135,Hendi Minta Tak Ada Penumpukan Pengunjung Saat Museum Kota Lama Buka ,Negative
5031,Tak Hanya Garuda Indonesia Maskapai Penerbangan China Ini Juga Bangkrut  merdeka ,Negative
6976,Mantan PM Pakistan Jika Tanggal Pemilu Tidak Segera Diumumkan Kami akan Lakukan Aksi Long March Besar ,Negative
1050,Daftar Terbaru Pinjol Ilegal yang Ditutup OJK Awas Tertipu ,Negative
1381,Jika China Resesi Ekonomi Indonesia Bakal Turun hingga 03 Persen ,Negative
159,Perusahaan Raffi Ahmad Pegang Saham Noice Persiapan IPO ,Negative
3171,Putin Sebut Ingin Segera Akhiri Perang Rusia Ukraina ,Negative
2404,Amerika Serikat Iran Berbohong Soal Pasokan Drone Kamikaze ke Rusia ,Negative
7503,Iphone Lovers Apple Bikin Mau Kejutan di IOS 16 Apa Itu ,Negative
4417,Takut Dibantai Timnas Indonesia PSSI,Negative
5425,Super Air Jet Akan Buka Rute Jakarta,Negative
7713,INFOGRAFIS Mobil,Negative
6182,Masih Bisa Ditembus Ujian TOEP di UMS Kerap Disusupi Oknum Penjoki ,Negative
4744,Kemenangan Timnas Indonesia atas Kuwait di Luar Ekspektasi Shin Tae,Negative
6568,Terjun ke Dunia Politik Maksi Ngkeros Resmi Gabung Partai Demokrat ,Negative
2383,Foto Diduga Grup Baru YG Entertainment Tersebar Begini Penampilan Mereka ,Negative
324,Garudafood Lagi Buka Lowongan Nih Lulusan SMA,Negative
6512,Petaka Deklarasi Ganjar Pranowo dan Anies Baswedan Politik Identitas dan Polarisasi Marak Lagi ,Negative
983,Harga Minyak Dunia Naik ke US 9732 per Barel Senin 25 Juli 2022 ,Negative
5580,Penerima Beasiswa Pendidikan Indonesia Dilarang Kerja Sampingan selama Kuliah ,Negative
325,Pengeluaran Iklan dan Promosi Garudafood Putra Putri Jaya Menurun di Semester I,Negative
353,Ini Antisipasi Garudafood Hadapi Kelangkaan Tepung Terigu ,Negative
466,Sah GOTO Resmi Melantai di Bursa ,Negative
2151,Heboh Livy Renata Minum Bekas Marshel Widianto Netizen Celine Evangelista Panas Gak ,Negative
6722,Fotonya dan Logo Partai Nasdem Tersebar di DIY Anies Bilang Begini ,Negative
1947,Keren Deretan Idol K,Negative
503,Pakuwon PWON Tergolong Tangguh Ini Target Harga Saham Terbaru ,Negative
2315,Viral Jisoo BLACKPINK Diduga Jadi Anak Tiri YG Entertainment Penggemar Murka Siap Santet Agensi ,Negative
1462,Bela Teddy Minahasa dalam Kasus Narkoba Henry Yosodiningrat Tak Masuk Akal Cuma Ratusan Juta Rupiah ,Negative
7566,Apple Tunda Peluncuran MacBook Air hingga November 2022 ,Negative
6115,RUANG BEBAS Ferdy Sambo Terbuka Pakar Hukum Pidana UI Soroti Pasal Bela Paksa Pakar UB Soal Luka ,Negative
5480,Menilik Potensi Wisata Bersejarah Kota Tua ,Negative
2064,Harga Tiket Konser Justin Bieber Selangit Cerita Warga Campaka Sudah Tiga Hari BBM di Cianjur Langka ,Negative
5480,Menilik Potensi Wisata Bersejarah Kota Tua ,Negative
869,Katanya Resesi Tapi Kok Harga Emas Cenderung Turun ,Negative
1189,Ekonomi 2023 Suram Ini Cara Pemerintah Selamatkan UKM ,Negative
7295,Takut Drone Buat Perang DJI Hengkang dari Rusia dan Ukraina ,Negative
910,Ada Tren Penurunan Harga Minyak Dunia Muncul Desakan Harga Pertalite Kembali Jadi Rp7650 per Liter ,Negative
6868,Apresiasi Dewan Kolonel Puan Minta Kader PDIP Utamakan Gotong Royong ,Negative
7056,Survei Sebut Puan Maharani Berpotensi Gerus Suara PDI,Negative
5195,Demo di Patung Kuda Ratusan Warga Papua Tolak Tinggalkan Mess Warisan Presiden Soekarno ,Negative
2170,Nama Raffi Ahmad di Kontak Nagita Slavina Bikin Baper Netizen ,Negative
